"","region","exam_name","exam_type","language","file_url","parent"
"108",NA,"Cosmetology Sculptured Nail","Additional Section","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-19_Sculptured-Nail_ENG_Eff.-7.1.22_kor.pdf","Cosmetology"
"109",NA,"Cosmetology","Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-19_Sculptured-Nail_ENG_Eff.-7.1.22_kor.pdf","Cosmetology"
"110",NA,"Cosmetology Basic Facial","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_SPN_Section-13_Basic-Facial_ENG_Eff-7.1.22.pdf","Cosmetology"
"111",NA,"Cosmetology Hair Removal of the Eyebrows","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_SPN_Section-14_Hair_Rem._Eyebrow_ENG_Eff.-7.1.22.pdf","Cosmetology"
"112",NA,"Cosmetology Hair Removal of Upper Lip with Hard Wax","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_SPN_Section-15_Hair-Rem_Upper-Lip-Hard-Wax_ENG_Eff-7.1.22.pdf","Cosmetology"
"113",NA,"Cosmetology Manicure and Polish Application","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_SPN_Section-17_Manicure-and-Polish-Application_ENG_Eff-7.1.22.pdf","Cosmetology"
"114",NA,"Cosmetology Nail Tip Application and Blending","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_SPN_Section-18_Nail-Tip-Application-and-Blending_ENG_Eff.-7.1.22.pdf","Cosmetology"
"115",NA,"Cosmetology Sculptured Nail","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_SPN_Section-19_Sculptured-Nail_ENG_Eff.-7.1.22.pdf","Cosmetology"
"116",NA,"Cosmetology","Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Core_VIE_Eff.-7.1.2022-1.pdf","Cosmetology"
"117",NA,"Cosmetology Basic Facial","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-13_Basic-Facial_ENG_Eff-7.1.22_vie.pdf","Cosmetology"
"118",NA,"Cosmetology Hair Removal of the Eyebrows","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-14_Hair_Rem._Eyebrow_ENG_Eff.-7.1.22_vie.pdf","Cosmetology"
"119",NA,"Cosmetology Hair Removal of Upper Lip with Hard Wax","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-15_Hair-Rem_Upper-Lip-Hard-Wax_ENG_Eff-7.1.22_vie.pdf","Cosmetology"
"120",NA,"Cosmetology Manicure and Polish Application","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-17_Manicure-and-Polish-Application_ENG_Eff-7.1.22_vie.pdf","Cosmetology"
"121",NA,"Cosmetology Nail Tip Application and Blending","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-18_Nail-Tip-Application-and-Blending_ENG_Eff.-7.1.22_vie.pdf","Cosmetology"
"122",NA,"Cosmetology Sculptured Nail","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology_Practical_CIB_Section-19_Sculptured-Nail_ENG_Eff.-7.1.22_vie.pdf","Cosmetology"
"123",NA,"Cosmetology","Written Practical","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology-Written-Practical_ENG_CIB_FINAL_kor.pdf","Cosmetology"
"124",NA,"Cosmetology","Written Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology-Written-Practical_ENG_CIB_FINAL_spa-M9.pdf","Cosmetology"
"125",NA,"Cosmetology","Written Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Cosmetology-Written-Practical_ENG_CIB_FINAL_vie.pdf","Cosmetology"
"126",NA,"Electrology","Theory","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Electrology-Theory_KOR_CIB_Eff.-6.1.2018-v.3.1.20.f-1.pdf","Electrology"
"127",NA,"Electrology","Theory","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Electrology-Theory_SPN_CIB_Eff.-6.1.2018-v.3.1.20.f-1.pdf","Electrology"
